conditional_name,logical_operator,path,comparison_operator,value,parentheses
hasHouseholdSize1Conditional,,household.size,===,1,
hasHouseholdSize2OrMoreConditional,,household.size,>=,2,
hasHouseholdBicycleConditional,,household.bicycleNumber,>=,1,
hasPreferNotToAnswerToSexAssignedConditional,,${currentPerson}.sexAssignedAtBirth,===,preferNotToAnswer,
ifAge3to5Conditional,,${currentPerson}.age,>=,3,
ifAge3to5Conditional,&&,${currentPerson}.age,<=,5,
ifAge4to13Conditional,,${currentPerson}.age,>=,4,
ifAge4to13Conditional,&&,${currentPerson}.age,<=,13,
ifAge4to15Conditional,,${currentPerson}.age,>=,4,
ifAge4to15Conditional,&&,${currentPerson}.age,<=,15,
ifAge5OrLessConditional,,${currentPerson}.age,<=,5,
ifAge5orMoreConditional,,${currentPerson}.age,>=,5,
ifAge6OrMoreConditional,,${currentPerson}.age,>=,6,
ifAge11OrMoreConditional,,${currentPerson}.age,>=,11,
ifAge14orMoreConditional,,${currentPerson}.age,>=,14,
ifAge15OrLessConditional,,${currentPerson}.age,<=,15,
ifAge15OrLessConditional,&&,${currentPerson}.age,!==,null,
ifAge15OrMoreConditional,,${currentPerson}.age,>=,15,
ifAge16OrMoreConditional,,${currentPerson}.age,>=,16,
ifAge16OrLessConditional,,${currentPerson}.age,<=,16,
ifAge16OrLessConditional,&&,${currentPerson}.age,!==,null,
ifAge40OrMoreConditional,,${currentPerson}.age,>=,40,
hasDrivingLicenseConditional,,${currentPerson}.drivingLicenseOwnership,===,yes,
isWorkerConditional,,${currentPerson}.occupation,===,fullTimeWorker,
isWorkerConditional,||,${currentPerson}.occupation,===,partTimeWorker,
isWorkerConditional,||,${currentPerson}.occupation,===,workerAndStudent,
isStudentConditional,,${currentPerson}.occupation,===,fullTimeStudent,
isStudentConditional,||,${currentPerson}.occupation,===,partTimeStudent,
isStudentConditional,||,${currentPerson}.occupation,===,workerAndStudent,
hasWorkingLocationConditional,,${currentPerson}.workPlaceType,===,onLocation,
hasWorkingLocationConditional,||,${currentPerson}.workPlaceType,===,hybrid,
hasWorkingLocationConditional,||,${currentPerson}.workPlaceType,===,onTheRoadWithUsualPlace,
hasWorkingLocationConditional,||,${currentPerson}.workPlaceTypeBeforeLeave,===,onLocation,
hasWorkingLocationConditional,||,${currentPerson}.workPlaceTypeBeforeLeave,===,hybrid,
hasWorkingLocationConditional,||,${currentPerson}.workPlaceTypeBeforeLeave,===,onTheRoadWithUsualPlace,
acceptsToBeContactedForHelp,,acceptToBeContactedForHelp,===,yes,
wantToParticipateInOtherSurveysChaireMobiliteConditional,,end.wouldLikeToParticipateInOtherSurveysChaireMobilite,===,yes,
householdHasCars,,household.carNumber,>=,1,
onTheRoadUsualWorkplace,,${currentPerson}.workPlaceType,===,onTheRoadWithUsualPlace,
personRemoteWorkDaysConditional,,${currentPerson}.workPlaceType,===,remote,
personRemoteWorkDaysConditional,||,${currentPerson}.workPlaceType,===,hybrid,
parentalOrSickLeaveConditional,,${currentPerson}.occupation,===,parentalOrSickLeave,
wasWorkerBeforeLeaveConditional,,${currentPerson}.workerTypeBeforeLeave,===,fullTime,
wasWorkerBeforeLeaveConditional,||,${currentPerson}.workerTypeBeforeLeave,===,partTime,
wantToParticipateInLongDistanceSurveyConditional,,household.wouldLikeToParticipateToLongDistanceSurvey,===,yes,
madeLongDistanceTripsConditional,,household.madeLongDistanceTripsInLastYear,===,yes,
