namespace,key,label::fr,label::en,label_one::fr,label_one::en
household,addGroupedObject,Ajouter une personne manquante,Add a missing person,,
household,deleteThisGroupedObject,Supprimer cette personne,Delete this person,,
segments,segmentsIntroOnTheRoad,"Veuillez indiquer tous les modes de transport utilisés pour effectuer les déplacements sur la route, dans l'ordre chronologique:","Please indicate all modes of transport used to complete work trip on the road, in chronological order:",,
segments,segmentsIntroStroll,"Veuillez indiquer tous les modes de transport utilisés pour effectuer la promenade, dans l'ordre chronologique:","Please indicate all modes of transport used to complete the stroll, in chronological order:",,
segments,junctionGeographyRefreshGeocodingLabel,Chercher le lieu de jonction à partir du nom ou de l'adresse,Search the junction location using the place name or address,,
segments,driverFamily,Ami ou famille,Friend or family,,
segments,driverColleague,Un collègue de travail ou d'études,A work colleague or fellow classmate,,
segments,driverTaxi,Chauffeur Taxi ou Uber,Taxi or Uber driver,,
segments,driverTransitTaxi,Chauffeur Taxi collectif / transport à la demande,Taxibus / On-demand transport driver,,
segments,driverParaTransit,Chauffeur Transport adapté,Para-transit driver,,
segments,driverCarpool,"Chauffeur Covoiturage (ex: Amigo Express, Kangaride)","Carsharing driver (ex: Amigo Express, Kangaride)",,
segments,driverOther,Une autre personne,Another person,,
segments,driverDontKnow,Je ne sais pas,I don't know,,
segments,driverFamilyMemberSeq,Personne {{sequence}},Person {{sequence}},,
visitedPlaces,visitedPlacePreviousDepartureTime__home_workUsual,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller au travail?,At what time did {{nickname}} leave home before going to work?,À quelle heure avez-vous quitté le domicile pour aller au travail?,At what time did you leave home before going to work?
visitedPlaces,visitedPlacePreviousDepartureTime__home_schoolUsual,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller au lieu d'études/école?,At what time did {{nickname}} leave home before going to school?,À quelle heure avez-vous quitté le domicile pour aller au lieu d'études/école?,At what time did you leave home before going to school?
visitedPlaces,visitedPlacePreviousDepartureTime_home_other,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller à cet endroit ({{visitedPlaceDescription}})?,At what time did {{nickname}} leave home before going to this place ({{visitedPlaceDescription}})?,À quelle heure avez-vous quitté le domicile pour aller à cet endroit ({{visitedPlaceDescription}})?,At what time did you leave home before going to this place ({{visitedPlaceDescription}})?
visitedPlaces,PreviousDepartureTime_home_workOnTheRoad,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile avant de débuter ses déplacements sur la route?,At what time did {{nickname}} leave home before starting {{gender:his/her/their/their}} work on the road trips?,À quelle heure avez-vous quitté le domicile avant de débuter vos déplacements sur la route?,At what time did you leave home before starting your work on the road trips?
visitedPlaces,PreviousDepartureTime_usualWorkPlace_workOnTheRoad,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté son lieu de travail habituel avant de débuter ses déplacements sur la route?,At what time did {{nickname}} leave {{gender:his/her/their/their}} usual work place before starting {{gender :his/her/their/their}} work on the road trips?,À quelle heure avez-vous quitté votre lieu de travail habituel avant de débuter vos déplacements sur la route?,At what time did you leave your usual work place before starting your work on the road trips?
visitedPlaces,Activity,Spécifier :,Specify :,,
visitedPlaces,ActivityCategoryFirstLocation,Activité principale au lieu de départ de la journée,Main activity carried out at the starting point of the day,,
visitedPlaces,ActivityCategoryAfterHome,Activité principale au premier lieu visité dans la journée après avoir quitté le domicile,Main activity carried out at the first location visited after leaving home,,
visitedPlaces,ActivityCategory,Activité principale à ce lieu,Main activity carried out at this location,,
visitedPlaces,VisitedPlaceSequence,Lieu {{count}},Location #{{count}},Lieu de départ de la journée,Departure place for this day
visitedPlaces,ConfirmDeleteVisitedPlace,Confirmez-vous que vous voulez retirer ce lieu?,Do you confirm that you want to remove this location?,,
visitedPlaces,LocationNameAddress,Nom ou adresse du lieu,Name or address of the place,,
visitedPlaces,LocationNameAddressExample_workUsual,"Édifice du Phare, CPE les petits génies","Lighthouse building, Les Petits génies CPE",,
visitedPlaces,LocationNameAddressExample_workUsual_onTheRoadOften,"Centre de distribution Rivières, Resto St-Hubert Alma","Rivière distribution center, Alma St-Hubert BBQ",,
visitedPlaces,LocationNameAddressExample_workNotUsual,"Palais des congrès de Montréal, Le Co-work du lac Long","Chateau Frontenac, Co-work on the Long lake",,
visitedPlaces,LocationNameAddressExample_schoolUsual,"École Marguerite-Bourgeoys, Collège CDI Québec, UQAR","Marguerite-Bourgeoys school, CDI College Québec, UQAR",,
visitedPlaces,LocationNameAddressExample_schoolNotUsual,"Bibliothèque à Livre ouvert, École de musique Dorémi","National library, music school Doremi",,
